Country,Country Code,Series,Series Code,2022M10 [2022M10],2022M11 [2022M11],2022M12 [2022M12],2022Q1 [2022Q1],2022Q2 [2022Q2],2022Q3 [2022Q3],2022Q4 [2022Q4],2023 [2023],2023M01 [2023M01],2023M02 [2023M02],2023M03 [2023M03],2023M04 [2023M04],2023M05 [2023M05],2023M06 [2023M06],2023M07 [2023M07],2023M08 [2023M08],2023M09 [2023M09],2023M10 [2023M10],2023M11 [2023M11],2023M12 [2023M12],2023Q1 [2023Q1],2023Q2 [2023Q2],2023Q3 [2023Q3],2023Q4 [2023Q4],2024 [2024],2024M01 [2024M01],2024M02 [2024M02],2024M03 [2024M03],2024M04 [2024M04],2024M05 [2024M05],2024M06 [2024M06],2024M07 [2024M07],2024M08 [2024M08],2024M09 [2024M09],2024M10 [2024M10],2024M11 [2024M11],2024M12 [2024M12],2024Q1 [2024Q1],2024Q2 [2024Q2],2024Q3 [2024Q3],2024Q4 [2024Q4],2025 [2025],2025M01 [2025M01],2025M02 [2025M02],2025M03 [2025M03],2025M04 [2025M04],2025M05 [2025M05],2025M06 [2025M06],2025Q1 [2025Q1],2025Q2 [2025Q2]
Qatar,QAT,"Exports Merchandise, Customs, current US$, millions, seas. adj.",DXGSRMRCHSACD,10552.8494234795,10071.3666690542,9912.97272161516,28581.6502797775,36253.0238886966,35825.5410959693,30537.1888141489,97790.2139465055,8908.63780552412,8817.66708761067,8733.09758913713,9012.35115944809,7823.95830014819,7703.87052250417,7756.87265171653,8104.6807633125,8005.91470608229,8073.05002242232,7229.82192984953,7620.29140874998,26459.4024822719,24540.1799821005,23867.4681211113,22923.1633610218,..,8181.819316949,8052.15127706095,8074.28429251153,8043.41025628948,7872.54329500637,8457.81264619925,8044.37194733928,7679.02392961815,7503.82060013002,..,..,..,24308.2548865215,24373.7661974951,23227.2164770875,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Exports Merchandise, Customs, Price, US$, not seas. adj.",DXGSRMRCHNSXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Exports Merchandise, Customs, Price, US$, seas. adj.",DXGSRMRCHSAXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",DMGSRMRCHSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",DMGSRMRCHNSCD,3513.20446501497,2968.96270078955,2738.6332698067,7923.49578001634,7444.32344132861,8563.02749795807,9220.80043561122,31148.3800707868,2643.07105907977,2208.00435611217,2619.65695616662,2365.91342227062,2610.94473182684,2564.11652600055,2569.56166621291,2739.72229784917,2562.48298393684,2739.45004083855,2668.93547508848,2856.5205554043,7470.73237135856,7540.97468009801,7871.76694799891,8264.90607133134,35398.0397495236,3648.78845630275,2741.6280969235,2960.794990471,2730.46555948816,2855.70378437245,2691.8050639804,2738.36101279608,2760.41383065614,2679.55349850259,3358.83473999456,2765.8589708685,3465.83174516744,9351.21154369725,8277.974407841,8178.32834195481,9590.52545603049,..,3134.76722025592,2827.93356928941,2888.91913966785,2923.76803702695,..,..,8851.61992921318,..
